date_time,open_price,high_price,low_price,close_price,quantity
2023/08/16 21:31, 16382.00, 16389.00, 16377.00, 16387.00, 753
2023/08/16 21:32, 16387.00, 16389.00, 16380.00, 16387.00, 548
2023/08/16 21:33, 16387.00, 16387.00, 16375.00, 16385.00, 749
2023/08/16 21:34, 16385.00, 16394.00, 16384.00, 16394.00, 568
2023/08/16 21:35, 16394.00, 16395.00, 16388.00, 16389.00, 433
2023/08/16 21:36, 16389.00, 16391.00, 16386.00, 16390.00, 293
2023/08/16 21:37, 16390.00, 16393.00, 16386.00, 16393.00, 396
2023/08/16 21:38, 16392.00, 16403.00, 16392.00, 16397.00, 1176
2023/08/16 21:39, 16397.00, 16406.00, 16396.00, 16403.00, 631
2023/08/16 21:40, 16405.00, 16407.00, 16399.00, 16400.00, 585
2023/08/16 21:41, 16401.00, 16402.00, 16397.00, 16399.00, 349
2023/08/16 21:42, 16398.00, 16405.00, 16398.00, 16405.00, 261
2023/08/16 21:43, 16405.00, 16407.00, 16400.00, 16401.00, 556
2023/08/16 21:44, 16401.00, 16405.00, 16398.00, 16403.00, 213
2023/08/16 21:45, 16403.00, 16403.00, 16399.00, 16399.00, 177
2023/08/16 21:46, 16399.00, 16403.00, 16398.00, 16400.00, 283
2023/08/16 21:47, 16401.00, 16406.00, 16397.00, 16405.00, 430
2023/08/16 21:48, 16405.00, 16410.00, 16404.00, 16407.00, 491
2023/08/16 21:49, 16407.00, 16417.00, 16407.00, 16416.00, 926
2023/08/16 21:50, 16417.00, 16419.00, 16414.00, 16416.00, 645
2023/08/16 21:51, 16416.00, 16417.00, 16409.00, 16413.00, 426
2023/08/16 21:52, 16414.00, 16414.00, 16409.00, 16410.00, 198
2023/08/16 21:53, 16410.00, 16411.00, 16404.00, 16405.00, 392
2023/08/16 21:54, 16405.00, 16409.00, 16405.00, 16407.00, 227
2023/08/16 21:55, 16407.00, 16407.00, 16402.00, 16402.00, 247
2023/08/16 21:56, 16403.00, 16404.00, 16398.00, 16403.00, 440
2023/08/16 21:57, 16402.00, 16404.00, 16399.00, 16403.00, 181
2023/08/16 21:58, 16402.00, 16406.00, 16402.00, 16406.00, 166
2023/08/16 21:59, 16405.00, 16410.00, 16403.00, 16409.00, 286
2023/08/16 22:00, 16409.00, 16410.00, 16407.00, 16407.00, 122
2023/08/16 22:01, 16408.00, 16409.00, 16401.00, 16401.00, 263
2023/08/16 22:02, 16401.00, 16403.00, 16393.00, 16394.00, 668
2023/08/16 22:03, 16395.00, 16400.00, 16393.00, 16399.00, 478
2023/08/16 22:04, 16399.00, 16399.00, 16390.00, 16391.00, 438
2023/08/16 22:05, 16391.00, 16392.00, 16387.00, 16391.00, 623
2023/08/16 22:06, 16392.00, 16399.00, 16392.00, 16398.00, 281
2023/08/16 22:07, 16397.00, 16406.00, 16397.00, 16406.00, 441
2023/08/16 22:08, 16406.00, 16409.00, 16405.00, 16405.00, 371
2023/08/16 22:09, 16405.00, 16409.00, 16405.00, 16408.00, 195
2023/08/16 22:10, 16407.00, 16413.00, 16405.00, 16410.00, 445
2023/08/16 22:11, 16409.00, 16417.00, 16408.00, 16417.00, 551
2023/08/16 22:12, 16417.00, 16420.00, 16413.00, 16414.00, 813
2023/08/16 22:13, 16414.00, 16419.00, 16413.00, 16417.00, 299
2023/08/16 22:14, 16419.00, 16419.00, 16413.00, 16416.00, 220
2023/08/16 22:15, 16414.00, 16416.00, 16411.00, 16415.00, 244
2023/08/16 22:16, 16414.00, 16419.00, 16413.00, 16419.00, 483
2023/08/16 22:17, 16418.00, 16420.00, 16416.00, 16418.00, 246
2023/08/16 22:18, 16418.00, 16422.00, 16417.00, 16419.00, 386
2023/08/16 22:19, 16419.00, 16422.00, 16417.00, 16421.00, 282
2023/08/16 22:20, 16420.00, 16422.00, 16419.00, 16421.00, 202
2023/08/16 22:21, 16422.00, 16423.00, 16415.00, 16417.00, 365
2023/08/16 22:22, 16418.00, 16418.00, 16414.00, 16416.00, 241
2023/08/16 22:23, 16415.00, 16419.00, 16415.00, 16418.00, 142
2023/08/16 22:24, 16417.00, 16419.00, 16412.00, 16414.00, 193
2023/08/16 22:25, 16414.00, 16414.00, 16411.00, 16411.00, 187
2023/08/16 22:26, 16412.00, 16413.00, 16409.00, 16410.00, 336
2023/08/16 22:27, 16410.00, 16413.00, 16407.00, 16412.00, 299
2023/08/16 22:28, 16412.00, 16415.00, 16406.00, 16406.00, 273
2023/08/16 22:29, 16406.00, 16410.00, 16406.00, 16407.00, 220
2023/08/16 22:30, 16407.00, 16411.00, 16407.00, 16409.00, 124
2023/08/16 22:31, 16408.00, 16410.00, 16406.00, 16409.00, 173
2023/08/16 22:32, 16410.00, 16413.00, 16410.00, 16413.00, 159
2023/08/16 22:33, 16413.00, 16413.00, 16405.00, 16406.00, 172
2023/08/16 22:34, 16406.00, 16408.00, 16403.00, 16406.00, 277
2023/08/16 22:35, 16406.00, 16406.00, 16403.00, 16406.00, 121
2023/08/16 22:36, 16405.00, 16407.00, 16404.00, 16407.00, 137
2023/08/16 22:37, 16407.00, 16411.00, 16406.00, 16406.00, 172
